"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"100","RT @narendramodi_in: #MannKiBaat: PM @narendramodi thanks people for 'spirit of unity' after Ayodhya verdict
https://t.co/NqafzdPnI9 

via…",FALSE,0,NA,2019-11-25 17:10:46,FALSE,NA,"1199012562425274369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BanshiDutta",36,TRUE,FALSE,NA,NA
"101","Dr @Swamy39         Shia Waqf Board will build hospital if five-acre land is given to it: Wasim Rizvi on Ayodhya ve… https://t.co/ov5GoWtDOx",FALSE,0,NA,2019-11-25 17:10:44,TRUE,NA,"1199012555374518279",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArtiSharma001",0,FALSE,FALSE,NA,NA
"102","I am asking the supreme Court of India why are you talking time to decide is this much more difficult than ayodhya… https://t.co/ORR3jTenuh",FALSE,0,NA,2019-11-25 17:09:20,TRUE,NA,"1199012204558897154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AboobackerMahi6",0,FALSE,FALSE,NA,NA
"103","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:08:44,FALSE,NA,"1199012054134411265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MWaseem28",200,TRUE,FALSE,NA,NA
"104","RT @AskAnshul: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hami…",FALSE,0,NA,2019-11-25 17:08:09,FALSE,NA,"1199011907614597127",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CommanderBhai",5298,TRUE,FALSE,NA,NA
"105","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:08:09,FALSE,NA,"1199011904795992064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arif74890482",200,TRUE,FALSE,NA,NA
"106","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:07:48,FALSE,NA,"1199011819207249921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DASKAVI",200,TRUE,FALSE,NA,NA
"107","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:07:39,FALSE,NA,"1199011778392444933",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_telegraph61",200,TRUE,FALSE,NA,NA
"108","RT @mkatju: Disillusion urself about judiciary. It has largely surrendered to executive as obvious from disgraceful Ayodhya verdict,sending…",FALSE,0,NA,2019-11-25 17:07:36,FALSE,NA,"1199011766786646018",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShammiPsycho",653,TRUE,FALSE,NA,NA
"109","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:06:25,FALSE,NA,"1199011469678936064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mushtaque51",200,TRUE,FALSE,NA,NA
